trace_name,wsr,allocator,rebalance_strategy,cpu_cycles_for_serving_requests,pool_rebalancer_cpu_cycles,rebalance_cycle_pct,throughput
meta_202206_kv,0.1,TinyLFU,hits,7900381888356,86815866252,0.010988818955695522,404506.6707261145
meta_202206_kv,0.1,TinyLFU,hits,7849278877057,81848612338,0.010427532722431214,409015.9529828556
meta_202206_kv,0.1,TinyLFU,hits,7947200335326,83499711574,0.010506808442066886,401163.2536961394
meta_202206_kv,0.1,LRU,lama,5582568712757,5678493484654,1.0171829093080031,562856.9928052766
meta_202206_kv,0.1,LRU,lama,5511772397850,5680504622742,1.0306130610469,563870.6854399019
meta_202206_kv,0.1,LRU,lama,5581629761884,5701988333021,1.0215633383566407,555890.3569650969
meta_202206_kv,0.01,TinyLFU,disabled,5355839783012,23382,4.365701915536111e-09,582353.8889476544
meta_202206_kv,0.01,TinyLFU,disabled,5248551737703,51018,9.720395749081012e-09,598646.3571671016
meta_202206_kv,0.01,TinyLFU,disabled,5224414081586,50898,9.742336500354247e-09,597276.3882176422
meta_202206_kv,0.01,LRU,disabled,4288742797159,17961,4.1879405806051e-09,721690.8223426508
meta_202206_kv,0.01,LRU,disabled,4220243400259,20320,4.814888164685701e-09,721063.4325129612
meta_202206_kv,0.01,LRU,disabled,4281657086289,19106,4.462291027738413e-09,711589.5850229925
meta_202206_kv,0.1,LRU,marginal-hits,6218625596647,82121948079,0.013205803565868165,506232.86792665813
meta_202206_kv,0.1,LRU,marginal-hits,6199797492181,74471499849,0.012011924573814102,512411.612812821
meta_202206_kv,0.1,LRU,marginal-hits,6200883375797,84737065914,0.01366532166122359,510682.23927280935
meta_202206_kv,0.1,TinyLFU,marginal-hits,7986506797354,86194167551,0.010792474073841256,401940.6126129065
meta_202206_kv,0.1,TinyLFU,marginal-hits,7930286785665,87101075779,0.010983345007956868,403766.5810345196
meta_202206_kv,0.1,TinyLFU,marginal-hits,7938425059660,86726810506,0.010924939122586423,403651.65122969553
meta_202206_kv,0.01,LRU,tail-age,4127293100113,1010719961415,0.24488688757949556,567832.5456997203
meta_202206_kv,0.01,LRU,tail-age,4155484900289,1012461949570,0.2436447186944625,555951.7461428564
meta_202206_kv,0.01,LRU,tail-age,4134407963487,1010932565845,0.24451688724795548,561003.9865222011
meta_202206_kv,0.1,LRU,disabled,4648151512774,23754,5.110418611510299e-09,661987.5331505615
meta_202206_kv,0.1,LRU,disabled,4580977527199,48275,1.053814381611196e-08,669256.3274014532
meta_202206_kv,0.1,LRU,disabled,4626976635034,51655,1.1163877424598325e-08,662961.0927890057
meta_202206_kv,0.1,TwoQ,marginal-hits,6122554579839,185204128969,0.030249485987247852,514494.7286661899
