file,algorithm,cache_size,wsr,total_requests,miss_ratio,throughput_MQPS
202312_kv_traces_all.csv.oracleGeneral.zst,GDSF,24GiB,0.1,8660501058,0.0233,0.38
202210_kv_traces_all_sort.csv.oracleGeneral.zst,BeladySize,3GiB,0.03,1482478166,0.0328,4.15
202312_kv_traces_all.csv.oracleGeneral.zst,GDSF,2GiB,0.01,8660501058,0.0310,0.36
202206_kv_traces_all.csv.oracleGeneral.zst,GDSF,183MiB,0.003,1644762386,0.0914,0.73
202210_kv_traces_all_sort.csv.oracleGeneral.zst,GDSF,857MiB,0.01,1482478166,0.0381,0.40
202312_kv_traces_all.csv.oracleGeneral.zst,GDSF,245MiB,0.001,8660501058,0.0694,0.57
202312_kv_traces_all.csv.oracleGeneral.zst,BeladySize,7GiB,0.03,8660501058,0.0239,3.13
202206_kv_traces_all.csv.oracleGeneral.zst,BeladySize,183MiB,0.003,1644762386,0.0774,0.48
202312_kv_traces_all.csv.oracleGeneral.zst,BeladySize,735MiB,0.003,8660501058,0.0448,0.65
202206_kv_traces_all.csv.oracleGeneral.zst,BeladySize,6GiB,0.1,1644762386,0.0316,3.28
cluster52.oracleGeneral.zst,GDSF,235MiB,0.01,13426570607,0.0944,0.56
cluster52.oracleGeneral.zst,GDSF,705MiB,0.03,13426570607,0.0674,0.40
202210_kv_traces_all_sort.csv.oracleGeneral.zst,GDSF,3GiB,0.03,1482478166,0.0335,0.44
202206_kv_traces_all.csv.oracleGeneral.zst,BeladySize,61MiB,0.001,1644762386,0.1437,0.24
cluster52.oracleGeneral.zst,BeladySize,2GiB,0.1,13426570607,0.0308,0.87
202210_kv_traces_all_sort.csv.oracleGeneral.zst,BeladySize,257MiB,0.003,1482478166,0.0497,0.93
202206_kv_traces_all.csv.oracleGeneral.zst,GDSF,2GiB,0.03,1644762386,0.0432,0.40
202206_kv_traces_all.csv.oracleGeneral.zst,GDSF,609MiB,0.01,1644762386,0.0619,0.55
202210_kv_traces_all_sort.csv.oracleGeneral.zst,BeladySize,857MiB,0.01,1482478166,0.0363,1.96
cluster52.oracleGeneral.zst,GDSF,70MiB,0.003,13426570607,0.1344,0.61
202312_kv_traces_all.csv.oracleGeneral.zst,BeladySize,2GiB,0.01,8660501058,0.0293,1.35
cluster52.oracleGeneral.zst,BeladySize,705MiB,0.03,13426570607,0.0483,0.48
cluster52.oracleGeneral.zst,BeladySize,70MiB,0.003,13426570607,0.0971,0.32
202206_kv_traces_all.csv.oracleGeneral.zst,BeladySize,609MiB,0.01,1644762386,0.0478,1.01
202401_kv_traces_all_sort.csv.oracleGeneral.zst,BeladySize,1GiB,0.03,1191241025,0.0499,2.34
202401_kv_traces_all_sort.csv.oracleGeneral.zst,GDSF,436MiB,0.01,1191241025,0.0714,0.46
202206_kv_traces_all.csv.oracleGeneral.zst,LRU-sim,183MiB,0.003,1644762386,0.1548,5.43
202312_kv_traces_all.csv.oracleGeneral.zst,LRU-sim,2GiB,0.01,8660501058,0.0789,5.16
202206_kv_traces_all.csv.oracleGeneral.zst,LRU-sim,61MiB,0.001,1644762386,0.2209,5.49
202312_kv_traces_all.csv.oracleGeneral.zst,LRU-sim,7GiB,0.03,8660501058,0.0527,4.48
cluster52.oracleGeneral.zst,LRU-sim,235MiB,0.01,13426570607,0.1234,4.70
cluster52.oracleGeneral.zst,LRU-sim,23MiB,0.001,13426570607,0.2316,5.34
202210_kv_traces_all_sort.csv.oracleGeneral.zst,LRU-sim,857MiB,0.01,1482478166,0.0943,5.37
202312_kv_traces_all.csv.oracleGeneral.zst,LRU-sim,245MiB,0.001,8660501058,0.1937,5.68
202401_kv_traces_all_sort.csv.oracleGeneral.zst,LRU-sim,4GiB,0.1,1191241025,0.0745,4.26
202210_kv_traces_all_sort.csv.oracleGeneral.zst,LRU-sim,3GiB,0.03,1482478166,0.0681,4.94
cluster52.oracleGeneral.zst,LRU-sim,70MiB,0.003,13426570607,0.1711,4.97
202401_kv_traces_all_sort.csv.oracleGeneral.zst,LRU-sim,1GiB,0.03,1191241025,0.1078,4.49
202206_kv_traces_all.csv.oracleGeneral.zst,LRU-sim,609MiB,0.01,1644762386,0.1041,5.36
202210_kv_traces_all_sort.csv.oracleGeneral.zst,LRU-sim,257MiB,0.003,1482478166,0.1381,5.65
202312_kv_traces_all.csv.oracleGeneral.zst,LRU-sim,24GiB,0.1,8660501058,0.0364,3.37
cluster52.oracleGeneral.zst,LRU-sim,705MiB,0.03,13426570607,0.0877,3.80
202312_kv_traces_all.csv.oracleGeneral.zst,LRU-sim,735MiB,0.003,8660501058,0.1263,5.51
cluster52.oracleGeneral.zst,LRU-sim,2GiB,0.1,13426570607,0.0615,3.44
202210_kv_traces_all_sort.csv.oracleGeneral.zst,LRU-sim,86MiB,0.001,1482478166,0.1973,5.78
202401_kv_traces_all_sort.csv.oracleGeneral.zst,LRU-sim,436MiB,0.01,1191241025,0.1509,5.48
202206_kv_traces_all.csv.oracleGeneral.zst,LRU-sim,6GiB,0.1,1644762386,0.0515,4.45
202206_kv_traces_all.csv.oracleGeneral.zst,LRU-sim,2GiB,0.03,1644762386,0.0726,5.04
202401_kv_traces_all_sort.csv.oracleGeneral.zst,LRU-sim,131MiB,0.003,1191241025,0.2105,5.66
202210_kv_traces_all_sort.csv.oracleGeneral.zst,LRU-sim,8GiB,0.1,1482478166,0.0512,4.29
202401_kv_traces_all_sort.csv.oracleGeneral.zst,LRU-sim,44MiB,0.001,1191241025,0.2748,5.78
