trace_name,number_of_requests,wsr,slab_size,slab_cnt,mhMinDiff,rebalance_strategy,allocator,tag,throughput,rebalanced_slabs,miss_ratio,n_rebalanced_slabs,monitor_interval,n_alloc_failures,uuid,mhMovingAverageParam,mhMinDiff,thresholdAIADStep,emrLow,emrHigh,base_dir,miss_ratio_reduction_from_disabled,miss_ratio_reduction_from_lru_disabled,tuned_improvement
meta_202210_kv,1482478166,0.004,4,88,1,marginal-hits-tuned,LRU,,1314267.4356679914,137,0.0849162381525422,137,50000,0,meta_202210_kv-8cec27fe9968e23c5a984ba93e6a8877,0.3,1,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU,,1292920.5653738326,137,0.0849162381525422,137,50000,0,meta_202210_kv-3cb2913afcc2182ea21941356fa1b1b6,0.3,2,2,0.5,0.85,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU,,1446992.9980353124,127,0.08701019007115685,127,50000,0,meta_202210_kv-93b05920f1b919ae39e7f78d2042a9eb,0.5,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU,,941159.7352353194,137,0.0849162381525422,137,50000,0,meta_202210_kv-32e18969dcc45862a963154a871ea527,0.3,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU,,1190961.291362759,136,0.07991750213743114,136,500000,0,meta_202210_kv-0fae3ace61e539a75178510c265b07dc,0.3,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU,,1155454.2156326384,126,0.08474834630380654,126,50000,0,meta_202210_kv-be6ef84d89040970e89dca34abc1a1b3,0.1,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU,,1035973.7174593551,125,0.08470029095861908,125,100000,0,meta_202210_kv-0d9a5d6b0821e54f75628db0dc926399,0.3,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU,,1169140.050709183,137,0.0849162381525422,137,50000,0,meta_202210_kv-9635e5c491da282e99df7cbdaf6e95f1,0.3,2,1,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1202088.0811302466,167,0.07205096199710236,167,50000,0,meta_202210_kv-d40db3b980297d3984800a558cb104b7,0.3,2,4,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,8,marginal-hits-tuned,LRU2Q,cold,1285891.9442779142,164,0.07188182493609825,164,50000,0,meta_202210_kv-02a2f7ea89679bad821c1db2ff630bed,0.3,8,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,904289.8400832174,194,0.07234663920170005,194,100000,0,meta_202210_kv-43df0390baa04814c994330cc15f5ca0,0.3,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1098393.0304656662,203,0.07184821162485842,203,50000,0,meta_202210_kv-aa3abffb441595dcca34056a99a6ca0a,0.1,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1085653.942027712,198,0.07240065955885383,198,200000,0,meta_202210_kv-7fb7016a66f8ea0320a67bd74aae188e,0.3,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1048171.710549936,144,0.07175108776610474,144,50000,0,meta_202210_kv-eca6b0554bfbb8966ce88a30036a5cc4,0.3,2,8,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1163059.4603217607,215,0.0723910243410627,215,50000,0,meta_202210_kv-615f27fd0573ecf706c1449141386f80,0.3,2,1,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1209313.6632467564,241,0.07282651001282943,241,500000,0,meta_202210_kv-abe60237560a3e9f7d9e0ba4474e39de,0.3,2,2,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1103653.50473005,285,0.07208836760702754,285,50000,0,meta_202210_kv-47be771c3844790d773b832c72d4892d,0.3,2,2,0.3,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
meta_202210_kv,1482478166,0.004,4,88,2,marginal-hits-tuned,LRU2Q,cold,1282296.2351641948,144,0.07175108776610474,144,50000,0,meta_202210_kv-5da5b003b0d6988ba7f43f410c7c1e9e,0.3,2,8,0.5,0.95,/nfs/hongshu/thesis-playground/paper-exp/efficiency/work_dir_meta_sensitivity,,,
